season,race_name,event_date,circuit_name,country,driver,team,grid_position,qualifying_position,qualifying_time,finish_position,points_scored,championship_points,status,lap_number,lap_time,sector1_time,sector2_time,sector3_time,tyre_compound,tyre_life,is_new_tyre,pit_in_time,pit_out_time,pit_duration,air_temperature,track_temperature,humidity,pressure,rainfall,wind_speed,wind_direction,track_status
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,37.0,68.142,17.361,30.269,20.512,HARD,13.0,True,,,,28.4,51.5,34.6,938.7,False,1.6,88,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,38.0,68.272,17.328,30.435,20.509,HARD,14.0,True,,,,28.7,51.2,35.1,938.6,False,2.8,101,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,39.0,68.472,17.268,30.551,20.653,HARD,15.0,True,,,,29.0,51.9,33.0,938.6,False,3.6,68,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,40.0,68.322,17.341,30.422,20.559,HARD,16.0,True,,,,28.9,51.6,33.8,938.7,False,3.0,79,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,41.0,68.231,17.41,30.363,20.458,HARD,17.0,True,,,,29.1,51.6,32.8,938.7,False,2.0,64,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,42.0,68.462,17.323,30.422,20.717,HARD,18.0,True,,,,29.0,51.6,33.5,938.7,False,2.3,90,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,43.0,68.421,17.347,30.452,20.622,HARD,19.0,True,,,,28.9,51.2,33.2,938.6,False,2.6,90,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,44.0,68.279,17.342,30.401,20.536,HARD,20.0,True,,,,28.7,51.2,33.8,938.6,False,2.8,75,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,45.0,68.422,17.38,30.294,20.748,HARD,21.0,True,,,,29.0,50.6,33.5,938.6,False,2.5,81,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,46.0,68.351,17.379,30.282,20.69,HARD,22.0,True,,,,29.0,50.6,33.6,938.7,False,2.9,74,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,47.0,75.384,17.281,30.504,27.599,HARD,23.0,True,,,,28.7,50.8,33.7,938.6,False,2.4,93,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,48.0,115.395,26.561,51.823,37.011,HARD,24.0,True,,,,28.7,50.4,34.4,938.5,False,3.2,85,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,49.0,120.1,29.77,51.997,38.333,HARD,25.0,True,,,,28.7,50.4,33.9,938.6,False,1.2,7,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,50.0,100.093,25.305,47.496,27.292,HARD,26.0,True,,,,28.8,50.5,34.0,938.7,False,1.4,94,124
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,51.0,96.079,17.09,44.018,34.971,HARD,27.0,True,,,,29.0,50.3,33.2,938.4,False,0.5,251,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,52.0,114.808,26.093,46.48,42.235,HARD,28.0,True,6239.028,,,29.3,49.1,33.3,938.4,False,0.8,91,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,53.0,117.837,35.473,45.737,36.627,HARD,29.0,True,,6255.437,,29.2,47.6,34.2,938.5,False,1.1,102,412
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,54.0,109.815,26.154,45.853,37.808,HARD,30.0,True,,,,29.4,48.8,33.3,938.5,False,1.3,95,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,55.0,102.625,24.688,44.298,33.639,HARD,31.0,False,,,,29.4,49.1,33.8,938.5,False,1.8,80,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,56.0,98.546,24.619,48.233,25.694,HARD,32.0,False,,,,29.6,48.7,32.8,938.4,False,1.0,68,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,57.0,68.204,17.079,30.465,20.66,HARD,33.0,False,,,,29.3,48.9,32.3,938.4,False,1.7,79,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,58.0,68.378,17.272,30.471,20.635,HARD,34.0,False,,,,29.0,48.9,32.7,938.4,False,1.5,73,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,59.0,68.062,17.317,30.222,20.523,HARD,35.0,False,,,,28.7,48.9,33.7,938.3,False,2.2,39,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,60.0,68.174,17.34,30.209,20.625,HARD,36.0,False,,,,28.5,48.9,34.6,938.4,False,2.1,33,41
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,61.0,68.238,17.311,30.383,20.544,HARD,37.0,False,,,,29.1,49.8,33.8,938.4,False,1.3,97,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,62.0,68.199,17.244,30.4,20.555,HARD,38.0,False,,,,29.3,49.8,33.6,938.5,False,2.0,91,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,63.0,68.023,17.254,30.353,20.416,HARD,39.0,False,,,,29.3,49.8,33.5,938.3,False,2.5,93,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,64.0,67.657,17.266,30.181,20.21,HARD,40.0,False,,,,29.3,49.3,33.8,938.4,False,2.0,77,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,65.0,70.046,17.186,30.922,21.938,HARD,41.0,False,,,,29.3,49.0,34.0,938.2,False,1.5,67,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,66.0,68.2,17.122,30.603,20.475,HARD,42.0,False,,,,29.6,49.0,33.6,938.3,False,2.0,81,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,67.0,68.412,17.361,30.388,20.663,HARD,43.0,False,,,,29.8,49.5,33.1,938.3,False,2.0,95,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,BOT,Mercedes,1.0,1.0,62.939,1.0,25.0,25.0,Finished,68.0,,,,,HARD,44.0,False,,,,29.7,46.7,33.0,938.2,False,2.7,85,12
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,1.0,76.847,,32.413,22.55,SOFT,4.0,False,,,,27.7,54.1,35.2,939.0,False,0.6,272,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,2.0,71.418,17.966,31.808,21.644,SOFT,5.0,False,,,,28.1,54.0,35.6,939.0,False,1.7,156,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,3.0,69.925,17.531,30.998,21.396,SOFT,6.0,False,,,,28.6,54.1,33.7,939.0,False,2.0,90,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,4.0,70.271,17.307,31.329,21.635,SOFT,7.0,False,,,,28.8,55.1,33.6,938.9,False,1.9,60,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,5.0,70.31,17.329,31.418,21.563,SOFT,8.0,False,,,,28.9,54.7,32.8,938.9,False,3.1,87,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,6.0,70.287,17.514,31.167,21.606,SOFT,9.0,False,,,,28.3,53.6,34.0,938.9,False,2.9,72,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,7.0,70.596,17.747,31.198,21.651,SOFT,10.0,False,,,,28.3,53.4,34.5,938.9,False,1.2,109,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,8.0,70.611,17.717,31.312,21.582,SOFT,11.0,False,,,,29.1,53.5,34.1,938.9,False,3.2,85,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,9.0,70.333,17.754,31.302,,SOFT,12.0,False,,,,29.1,53.5,34.1,938.9,False,3.2,85,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,10.0,70.308,17.754,31.07,21.484,SOFT,13.0,False,,,,29.1,53.5,34.1,938.9,False,3.2,85,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,11.0,70.278,17.674,31.14,21.464,SOFT,14.0,False,,,,29.1,53.5,34.1,938.9,False,3.2,85,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,12.0,70.138,17.75,31.059,21.329,SOFT,15.0,False,,,,29.4,53.3,33.2,938.8,False,2.5,73,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,13.0,70.177,17.7,31.111,21.366,SOFT,16.0,False,,,,29.4,53.3,33.2,938.8,False,2.5,73,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,14.0,70.072,17.661,31.05,21.361,SOFT,17.0,False,,,,29.4,53.3,33.2,938.8,False,2.5,73,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,15.0,69.954,17.666,31.034,21.254,SOFT,18.0,False,,,,29.4,53.3,33.2,938.8,False,2.5,73,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,16.0,70.181,17.663,31.208,21.31,SOFT,19.0,False,,,,29.0,53.3,33.2,938.8,False,2.7,88,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,17.0,70.245,17.722,31.175,21.348,SOFT,20.0,False,,,,29.0,53.1,32.5,938.9,False,2.7,90,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,18.0,70.392,17.599,31.307,21.486,SOFT,21.0,False,,,,28.6,53.0,33.5,938.8,False,2.8,64,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,19.0,70.117,17.56,31.185,21.372,SOFT,22.0,False,,,,29.1,52.8,33.6,938.7,False,3.2,91,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,20.0,70.199,17.578,31.245,21.376,SOFT,23.0,False,,,,29.2,52.8,32.4,938.8,False,2.4,62,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,21.0,89.806,17.611,41.177,31.018,SOFT,24.0,False,3819.058,,,29.1,52.9,33.0,938.7,False,1.6,83,12
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,22.0,110.117,40.826,40.498,28.793,SOFT,25.0,False,,3841.812,,29.2,52.9,32.9,938.8,False,2.3,84,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,23.0,101.051,20.144,43.635,37.272,SOFT,26.0,False,,,,28.6,52.9,33.5,938.8,False,2.7,111,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,24.0,114.953,27.138,49.351,38.464,SOFT,27.0,False,,,,28.9,52.2,33.8,938.8,False,3.5,94,124
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,25.0,107.566,27.497,54.027,26.042,HARD,1.0,True,,,,28.9,52.2,32.7,938.8,False,3.0,87,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,26.0,70.877,18.112,31.458,21.307,HARD,2.0,True,,,,27.8,51.7,34.4,938.7,False,2.3,86,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,27.0,70.125,17.615,31.184,21.326,HARD,3.0,True,,,,27.8,51.1,35.0,938.7,False,1.4,100,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,28.0,69.596,17.342,30.912,21.342,HARD,4.0,True,,,,28.3,51.1,34.4,938.8,False,1.4,72,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,29.0,69.538,17.083,31.106,21.349,HARD,5.0,True,,,,28.6,52.5,33.8,938.7,False,2.0,97,4
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,30.0,69.245,17.156,30.936,21.153,HARD,6.0,True,,,,29.0,52.8,33.5,938.7,False,1.6,68,41
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,31.0,69.479,17.218,31.055,21.206,HARD,7.0,True,,,,29.2,52.5,33.2,938.7,False,1.8,101,12
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,32.0,69.263,17.421,30.687,21.155,HARD,8.0,True,,,,29.3,52.1,32.7,938.7,False,1.9,86,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,33.0,68.973,17.398,30.594,20.981,HARD,9.0,True,,,,29.1,51.8,32.6,938.7,False,3.0,77,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,34.0,69.184,17.496,30.625,21.063,HARD,10.0,True,,,,28.7,51.7,33.3,938.7,False,2.9,80,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,35.0,69.112,17.518,30.594,21.0,HARD,11.0,True,,,,28.5,51.6,34.9,938.7,False,2.8,87,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,36.0,69.126,17.437,30.603,21.086,HARD,12.0,True,,,,28.7,51.6,33.1,938.6,False,3.3,93,1
2020,Austrian Grand Prix,2020-07-05,Spielberg,Austria,LEC,Ferrari,7.0,7.0,63.923,2.0,18.0,18.0,Finished,37.0,69.12,17.44,30.763,20.917,HARD,13.0,True,,,,28.4,51.5,34.6,938.7,False,1.6,88,1
