season,race_name,event_date,driver,grid_position,finish_position,points,team,avg_lap_time,std_lap_time,best_lap_time,avg_sector1,avg_sector2,avg_sector3,main_compound,pit_stop_count,status,avg_air_temp,avg_track_temp,avg_humidity,rain_probability,is_classified,position_gain
2018,Abu Dhabi Grand Prix,2018-11-25,OCO,9.0,17.0,0.0,Racing Point,108.97334146341464,9.353824278362719,103.591,19.71390909090909,46.92293333333334,45.51644444444444,SUPERSOFT,3,Engine,31.69111111111111,33.33111111111111,43.657777777777774,0.06666666666666667,0,-8.0
2018,Abu Dhabi Grand Prix,2018-11-25,PER,14.0,8.0,4.0,Racing Point,107.62251923076923,8.957206058374007,102.816,19.33394444444444,46.41709090909091,44.562,SUPERSOFT,2,Finished,30.78,32.64363636363637,48.06727272727272,0.05454545454545454,1,6.0
2018,Abu Dhabi Grand Prix,2018-11-25,RAI,4.0,19.0,0.0,Ferrari,121.76766666666667,20.521670505427515,105.198,23.775000000000002,57.192,59.62366666666667,ULTRASOFT,1,Power loss,32.57142857142857,34.471428571428575,37.785714285714285,0.0,0,-15.0
2018,Abu Dhabi Grand Prix,2018-11-25,RIC,5.0,4.0,12.0,Red Bull Racing,106.10323076923078,8.582378850296413,101.249,19.118277777777777,46.108909090909094,43.737109090909094,ULTRASOFT,2,Finished,30.87818181818182,32.721818181818186,47.56909090909091,0.07272727272727272,1,1.0
2018,Abu Dhabi Grand Prix,2018-11-25,SAI,11.0,6.0,8.0,Renault,107.27661538461538,9.245511538788776,101.351,19.220296296296297,46.50649090909091,44.24125454545454,ULTRASOFT,2,Finished,30.78363636363636,32.63636363636363,48.06545454545454,0.05454545454545454,1,5.0
2018,Abu Dhabi Grand Prix,2018-11-25,SIR,19.0,15.0,0.0,Williams,109.43019607843136,10.167279740460785,103.831,19.483056603773587,47.20905555555556,45.183018518518516,SUPERSOFT,2,+1 Lap,30.794444444444448,32.63703703703704,48.01296296296296,0.05555555555555555,1,4.0
2018,Abu Dhabi Grand Prix,2018-11-25,STR,20.0,13.0,0.0,Williams,109.04856862745098,9.60625789005251,104.033,19.476264150943397,47.00955555555556,45.08690740740741,SUPERSOFT,2,+1 Lap,30.824074074074073,32.64259259259259,47.885185185185186,0.05555555555555555,1,7.0
2018,Abu Dhabi Grand Prix,2018-11-25,VAN,18.0,14.0,0.0,McLaren,109.10982352941176,10.0828219020389,103.249,19.39920754716981,47.16474074074075,45.0192037037037,SUPERSOFT,2,+1 Lap,30.814814814814813,32.63703703703704,47.912962962962965,0.05555555555555555,1,4.0
2018,Abu Dhabi Grand Prix,2018-11-25,VER,6.0,3.0,15.0,Red Bull Racing,106.1014423076923,8.983347272163789,101.909,19.126555555555555,46.01587272727273,43.74578181818182,SUPERSOFT,2,Finished,30.869090909090907,32.71636363636364,47.61454545454546,0.07272727272727272,1,3.0
2018,Abu Dhabi Grand Prix,2018-11-25,VET,3.0,2.0,18.0,Ferrari,105.79913461538462,8.409410331216936,100.867,19.019722222222224,45.80261818181818,43.921600000000005,SUPERSOFT,2,Finished,30.863636363636363,32.71818181818182,47.627272727272725,0.07272727272727272,1,1.0
2018,Australian Grand Prix,2018-03-25,ALO,10.0,5.0,10.0,McLaren,93.12360344827586,11.767294006843573,86.978,30.921877192982457,24.802206896551724,37.26529310344828,SOFT,2,Finished,24.058620689655175,36.59655172413793,30.620689655172413,0.0,1,5.0
